level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,1,1,1,1,150,134,27,53,0.0,lo
5,1,1,1,1,2,227,146,117,41,96.602768,Outlook
5,1,1,1,1,3,438,167,51,21,96.253624,0.01
5,1,2,1,1,1,153,257,134,23,96.40152,MESSAGE
5,1,2,1,1,2,299,257,82,23,92.242134,FROM
5,1,2,1,1,3,395,257,69,23,92.242134,MET1
5,1,2,1,1,4,477,257,55,23,93.208504,0171
5,1,2,1,1,5,547,257,125,23,90.663849,INV-0012
5,1,2,1,1,6,684,257,161,23,96.709305,04-07-2025
5,1,2,1,1,7,857,257,101,23,92.844566,17:01:15
5,1,3,1,1,1,159,346,59,19,90.121445,From
5,1,3,1,1,2,230,345,317,26,90.121445,petromail@dtnenergy.com
5,1,3,1,1,3,560,345,351,26,91.378754,<petromail@dtnenergy.com>
5,1,3,1,2,1,159,390,54,19,96.597328,Date
5,1,3,1,2,2,231,390,51,19,96.854668,Mon
5,1,3,1,2,3,292,389,106,23,96.774994,4/7/2025
5,1,3,1,2,4,409,389,43,20,96.478111,6:01
5,1,3,1,2,5,467,390,35,19,96.495819,PM
5,1,3,1,3,1,157,433,27,20,80.978378,To
5,1,3,1,3,2,229,433,74,20,76.041534,AP.NC
5,1,3,1,3,3,315,432,347,23,83.332596,<AP.NC@RamocoFuels.com>
5,1,4,1,1,1,1059,415,75,21,92.447937,49001
5,1,4,1,1,2,1148,427,8,3,92.447937,-
5,1,4,1,1,3,1168,415,109,27,96.801796,Highway
5,1,4,1,1,4,1285,415,130,21,96.126305,Albemarle
5,1,4,1,2,1,1060,448,185,21,92.449196,LSD-1000/996
5,1,5,1,1,1,1061,480,96,21,91.179932,F-61.82
5,1,5,1,2,1,1059,513,131,21,90.734062,T-2817.65
5,1,5,2,1,1,153,539,161,22,92.150681,METROPLEX
5,1,5,3,1,1,153,581,67,22,92.991211,MET1
5,1,5,3,1,2,243,581,60,22,89.376846,0171
5,1,5,3,1,3,328,581,123,22,89.376846,INV-0012
5,1,5,3,1,4,471,581,120,22,96.906921,04-07-25
5,1,5,3,1,5,612,581,80,22,96.439453,START
5,1,5,3,1,6,704,581,60,22,96.001389,MSG
5,1,5,4,1,1,153,623,161,22,91.361885,METROPLEX
5,1,5,4,1,2,578,623,110,22,96.228256,INVOICE
5,1,5,4,1,3,699,623,70,22,96.325264,TYPE:
5,1,5,4,1,4,782,623,32,21,96.536835,PR
5,1,5,5,1,1,153,706,111,22,96.239548,INVOICE
5,1,5,5,1,2,276,706,48,22,96.324173,NO:
5,1,5,5,1,3,336,706,129,22,96.828346,25229598
5,1,5,5,1,4,635,706,72,22,96.820953,SOLD
5,1,5,5,1,5,718,706,42,22,96.983795,TO:
5,1,5,6,1,1,153,748,111,22,96.418076,INVOICE
5,1,5,6,1,2,276,748,72,22,96.397034,DATE:
5,1,5,6,1,3,360,748,128,22,96.132431,20250407
5,1,5,6,1,4,643,748,127,22,95.830544,Hanuman
5,1,5,6,1,5,783,747,110,23,95.834579,Business
5,1,5,7,1,1,153,789,111,22,96.479179,INVOICE
5,1,5,7,1,2,276,790,54,21,95.730721,DUE
5,1,5,7,1,3,342,790,72,21,96.617203,DATE:
5,1,5,7,1,4,426,789,129,22,96.3339,20250417
5,1,5,8,1,1,151,873,97,22,96.063591,TERMS:
5,1,5,8,1,2,261,873,46,22,96.063591,Net
5,1,5,8,1,3,320,873,28,22,96.969559,10
5,1,5,8,1,4,359,872,58,30,96.045074,days
5,1,5,8,1,5,428,871,61,24,96.922806,after
5,1,5,8,1,6,499,872,103,30,96.760849,delivery
5,1,5,8,1,7,613,873,61,26,96.890038,(EFT)
5,1,5,9,1,1,152,956,60,22,95.903854,SHIP
5,1,5,9,1,2,224,956,86,22,96.48877,FROM:
5,1,5,9,1,3,565,956,60,22,96.161499,SHIP
5,1,5,9,1,4,635,956,42,22,96.161499,TO:
5,1,5,10,1,1,151,998,155,22,91.541946,T56NC2020
5,1,5,10,1,2,569,998,150,22,96.495171,HANUMAN
5,1,5,10,1,3,733,998,130,22,95.849876,BUSINESS
5,1,5,11,1,1,486,1040,128,25,96.099052,"VARIOUS,"
5,1,5,11,1,2,627,1040,37,22,96.908295,NC
5,1,5,12,1,1,152,1165,62,22,93.13327,SPLC
5,1,5,12,1,2,225,1165,82,22,96.789116,CODE:
5,1,5,13,1,1,153,1248,49,22,93.113091,BOL
5,1,5,13,1,2,216,1248,15,20,92.125,#
5,1,5,13,1,3,368,1249,66,21,96.676323,DATE
5,1,5,13,1,4,495,1249,65,21,92.750336,TIME
5,1,5,13,1,5,589,1248,94,22,91.326622,PROD#
5,1,5,13,1,6,762,1249,17,21,92.414604,N
5,1,5,13,1,7,860,1248,65,22,96.561691,UNIT
5,1,5,14,1,1,153,1290,180,22,96.691666,DESCRIPTION
5,1,5,14,1,2,547,1290,91,22,96.834908,GROSS
5,1,5,14,1,3,701,1290,51,22,83.818459,NET
5,1,5,14,1,4,761,1290,31,25,83.818459,/G
5,1,5,14,1,5,813,1290,66,22,73.46933,UOM
5,1,5,14,1,6,919,1290,74,22,91.544502,PRICE
5,1,5,14,1,7,1036,1290,129,22,91.544502,AMOUNT
5,1,5,15,1,1,151,1373,80,22,96.31488,85718
5,1,5,15,1,2,368,1373,129,22,95.400078,20250407
5,1,5,15,1,3,525,1373,70,22,95.400078,01:57
5,1,5,15,1,4,615,1373,69,22,96.898605,ULSD
5,1,5,16,1,1,153,1415,69,22,96.131966,ULSD
5,1,5,16,1,2,512,1415,61,22,96.851822,1000
5,1,5,16,1,3,634,1415,47,22,91.519142,996
5,1,5,16,1,4,701,1415,18,22,91.519142,N
5,1,5,16,1,5,740,1415,39,22,95.824074,GA
5,1,5,16,1,6,798,1415,119,22,93.595543,2.111200
5,1,5,16,1,7,953,1415,103,22,93.595543,2102.76
5,1,5,17,1,1,151,1457,206,25,91.864304,CARRIER\SCAC:
5,1,5,17,1,2,370,1457,75,22,91.864304,HUEN
5,1,5,17,1,3,635,1457,64,22,96.815918,FEIN:
5,1,5,17,1,4,710,1457,145,22,85.814278,991698715
5,1,5,18,1,1,167,1540,88,22,96.333694,TAXES:
5,1,6,1,1,1,167,1582,41,22,93.076492,Tax
5,1,6,1,1,2,219,1594,9,2,92.99485,-
5,1,6,1,1,3,241,1582,43,22,96.108284,FET
5,1,6,1,1,4,295,1581,136,30,93.291451,Superfund
5,1,6,1,1,5,443,1594,9,2,89.718239,-
5,1,6,1,1,6,465,1581,76,23,93.238541,Diesel
5,1,6,1,1,7,554,1594,8,2,93.175232,-
5,1,6,1,1,8,575,1581,60,23,96.465683,Rack
5,1,6,1,1,9,646,1581,52,23,96.643623,Sale
5,1,6,2,1,1,562,1624,47,22,92.354065,996
5,1,6,2,1,2,630,1624,17,21,92.354065,N
5,1,6,2,1,3,668,1624,39,22,96.780464,GA
5,1,6,2,1,4,725,1624,120,22,96.638954,0.004046
5,1,6,2,1,5,905,1624,53,22,95.053734,4.03
5,1,6,2,2,1,167,1666,41,21,93.098732,Tax
5,1,6,2,2,2,219,1678,9,2,93.098732,-
5,1,6,2,2,3,241,1665,37,22,96.610756,NC
5,1,6,2,2,4,291,1666,55,21,93.101257,MFT
5,1,6,2,2,5,357,1678,8,2,89.948997,-
5,1,6,2,2,6,378,1664,76,23,93.242836,Diesel
5,1,6,2,2,7,467,1678,8,2,93.174278,-
5,1,6,2,2,8,489,1664,60,23,96.438141,Rack
5,1,6,2,2,9,559,1664,52,23,96.652977,Sale
5,1,6,2,3,1,562,1707,47,22,92.56424,996
5,1,6,2,3,2,630,1707,17,22,92.56424,N
5,1,6,2,3,3,668,1707,39,22,96.875214,GA
5,1,6,2,3,4,725,1707,119,22,90.670151,0.403002
5,1,6,2,3,5,888,1707,87,22,86.93811,401.39
5,1,6,2,4,1,167,1749,41,22,93.215378,Tax
5,1,6,2,4,2,219,1761,9,2,93.215378,-
5,1,6,2,4,3,241,1749,37,22,96.890106,NC
5,1,6,2,4,4,291,1749,19,22,93.186417,IF
5,1,6,2,4,5,322,1761,8,2,93.171951,-
5,1,6,2,4,6,343,1748,76,23,92.837334,Diesel
5,1,6,2,4,7,432,1761,8,2,92.837334,-
5,1,6,2,4,8,453,1748,60,23,96.945839,Rack
5,1,6,2,4,9,524,1748,52,23,96.494217,Sale
5,1,6,2,5,1,562,1790,47,22,92.245407,996
5,1,6,2,5,2,630,1791,17,21,92.834114,N
5,1,6,2,5,3,668,1790,39,22,96.3918,GA
5,1,6,2,5,4,725,1790,120,22,96.32621,0.002500
5,1,6,2,5,5,906,1790,53,22,96.287483,2.49
5,1,6,2,6,1,167,1832,41,22,93.147354,Tax
5,1,6,2,6,2,219,1844,9,2,93.147354,-
5,1,6,2,6,3,241,1832,43,22,90.439682,FET
5,1,6,2,6,4,295,1844,8,2,90.439682,-
5,1,6,2,6,5,316,1831,76,23,93.232986,Diesel
5,1,6,2,6,6,405,1844,8,2,93.193169,-
5,1,6,2,6,7,426,1831,61,23,96.846245,Rack
5,1,6,2,6,8,497,1831,52,23,96.490364,Sale
5,1,6,2,7,1,562,1874,47,22,92.779472,996
5,1,6,2,7,2,630,1874,17,22,92.358269,N
5,1,6,2,7,3,668,1874,39,22,96.174484,GA
5,1,6,2,7,4,725,1874,120,22,74.41394,0.243996
5,1,6,2,7,5,889,1874,86,22,74.41394,243.02
5,1,6,2,8,1,167,1916,41,22,93.217171,Tax
5,1,6,2,8,2,219,1928,9,2,92.589897,-
5,1,6,2,8,3,241,1916,43,21,96.971657,FET
5,1,6,2,8,4,294,1915,34,23,96.796738,Oil
5,1,6,2,8,5,341,1915,52,29,93.169373,Spill
5,1,6,2,8,6,406,1928,8,2,93.169373,-
5,1,6,2,8,7,427,1915,76,23,93.3013,Diesel
5,1,6,2,8,8,516,1928,9,2,92.915298,-
5,1,6,2,8,9,538,1915,59,23,96.966591,Rack
5,1,6,2,8,10,608,1915,52,23,96.444221,Sale
5,1,6,3,1,1,562,1957,47,22,92.36277,996
5,1,6,3,1,2,630,1958,17,21,92.833771,N
5,1,6,3,1,3,668,1957,39,22,95.845757,GA
5,1,6,3,1,4,725,1957,119,22,96.292404,0.002139
5,1,6,3,1,5,906,1957,52,22,95.750023,2.13
5,1,9,1,1,1,570,2082,83,22,95.774345,TOTAL
5,1,9,1,1,2,664,2082,118,22,95.538338,INVOICE:
5,1,9,1,1,3,860,2082,102,22,96.913055,2755.82
